type,state,candidate,date,winprob,electoral_votes_avg,electoral_votes_upr,electoral_votes_lwr,popular_votes_avg,popular_votes_upr,popular_votes_lwr
polls-plus,US,Trump,2020-11-03,10.39,189.5133,271,119,45.37347,47.85099,42.91262
polls-plus,US,Trump,2020-11-02,10.2675,189.5295,271,119,45.37347,47.8502,42.91348
polls-plus,US,Trump,2020-11-01,10.285,190.0875,270,119,45.50108,47.97809,43.03094
polls-plus,US,Trump,2020-10-31,10.5625,190.6819,273,119,45.487,47.99736,42.98096
polls-plus,US,Trump,2020-10-30,9.9625,190.9733,269,119,45.46838,48.0105,42.9251
polls-plus,US,Trump,2020-10-29,10.8975,191.1951,275,118,45.41101,47.99825,42.81808
polls-plus,US,Trump,2020-10-28,11.2575,195.159,275,119,45.46624,48.0974,42.83503
polls-plus,US,Trump,2020-10-27,11.89,194.434,278,119,45.43136,48.11111,42.74829
polls-plus,US,Trump,2020-10-26,12.354999999999999,194.4589,279,118,45.41864,48.14102,42.69503
polls-plus,US,Trump,2020-10-25,12.307500000000001,193.2231,279,118,45.40333,48.17115,42.63616
polls-plus,US,Trump,2020-10-24,12.959999999999999,194.5822,281,117,45.41736,48.22457,42.60899
polls-plus,US,Trump,2020-10-23,12.509999999999998,191.6852,280,116,45.32072,48.15564,42.49039
polls-plus,US,Trump,2020-10-22,12.19,191.0482,279,115,45.28804,48.17241,42.41592
polls-plus,US,Trump,2020-10-21,12.7775,192.7293,280,116,45.30177,48.22488,42.39642
polls-plus,US,Trump,2020-10-20,12.485,192.3522,280,114,45.26448,48.23416,42.30985
polls-plus,US,Trump,2020-10-19,12.0425,190.336,279,112,45.17442,48.1834,42.18653
polls-plus,US,Trump,2020-10-18,12.1775,191.2572,279,113,45.17662,48.21889,42.14919
polls-plus,US,Trump,2020-10-17,12.235,191.3031,280,112,45.17821,48.253,42.1105
polls-plus,US,Trump,2020-10-16,12.922500000000001,192.213,283,112,45.22214,48.32899,42.12756
polls-plus,US,Trump,2020-10-15,12.950000000000001,192.0065,283,112,45.22849,48.36061,42.1101
polls-plus,US,Trump,2020-10-14,13.0775,192.1605,283,112,45.27099,48.44166,42.11092
polls-plus,US,Trump,2020-10-13,12.977500000000001,191.7341,284,111,45.2369,48.438,42.04291
polls-plus,US,Trump,2020-10-12,13.4325,191.9522,285,110,45.28416,48.52246,42.05617
polls-plus,US,Trump,2020-10-11,13.772499999999999,192.5051,286,109,45.28168,48.55581,42.02129
polls-plus,US,Trump,2020-10-10,14.442499999999999,193.7852,289,110,45.33618,48.6417,42.04492
polls-plus,US,Trump,2020-10-09,14.702499999999999,194.4416,290,110,45.36269,48.69299,42.04865
polls-plus,US,Trump,2020-10-08,15.162500000000001,194.9928,292,110,45.39284,48.74539,42.06244
