sim,winner_overall,state_id,abbr,winner,state
1,Trump,1,AK,Trump,Alaska
1,Trump,2,AL,Trump,Alabama
1,Trump,3,AR,Trump,Arkansas
1,Trump,4,AZ,Trump,Arizona
1,Trump,5,CA,Biden,California
1,Trump,6,CO,Biden,Colorado
1,Trump,7,CT,Biden,Connecticut
1,Trump,8,DC,Biden,District of Columbia
1,Trump,9,DE,Biden,Delaware
1,Trump,10,FL,Trump,Florida
1,Trump,11,GA,Trump,Georgia
1,Trump,12,HI,Biden,Hawaii
1,Trump,13,IA,Trump,Iowa
1,Trump,14,ID,Trump,Idaho
1,Trump,15,IL,Biden,Illinois
1,Trump,16,IN,Trump,Indiana
1,Trump,17,KS,Trump,Kansas
1,Trump,18,KY,Trump,Kentucky
1,Trump,19,LA,Trump,Louisiana
1,Trump,20,MA,Biden,Massachusetts
1,Trump,21,MD,Biden,Maryland
1,Trump,22,ME,Trump,Maine
1,Trump,24,MN,Trump,Michigan
1,Trump,25,MO,Trump,Minnesota
1,Trump,26,MS,Trump,Missouri
1,Trump,27,MT,Trump,Mississippi
1,Trump,28,NC,Trump,Montana
1,Trump,29,ND,Trump,North Carolina
1,Trump,30,NE,Trump,North Dakota
1,Trump,31,NH,Trump,Nebraska
1,Trump,32,NJ,Trump,New Hampshire
1,Trump,33,NM,Biden,New Jersey
1,Trump,34,NV,Biden,New Mexico
1,Trump,35,NY,Trump,Nevada
1,Trump,36,OH,Biden,New York
1,Trump,37,OK,Trump,Ohio
1,Trump,38,OR,Trump,Oklahoma
1,Trump,39,PA,Biden,Oregon
1,Trump,40,RI,Trump,Pennsylvania
1,Trump,41,SC,Biden,Rhode Island
1,Trump,42,SD,Trump,South Carolina
1,Trump,43,TN,Trump,South Dakota
1,Trump,44,TX,Trump,Tennessee
1,Trump,45,UT,Trump,Texas
1,Trump,46,VA,Trump,Utah
1,Trump,47,VT,Biden,Virginia
1,Trump,48,WA,Biden,Vermont
1,Trump,49,WI,Biden,Washington
1,Trump,50,WV,Trump,Wisconsin
1,Trump,51,WY,Trump,West Virginia
1,Trump,52,NA,Trump,Wyoming
2,Trump,1,AK,Trump,Alaska
2,Trump,2,AL,Trump,Alabama
2,Trump,3,AR,Trump,Arkansas
2,Trump,4,AZ,Trump,Arizona
2,Trump,5,CA,Biden,California
2,Trump,6,CO,Biden,Colorado
2,Trump,7,CT,Biden,Connecticut
2,Trump,8,DC,Biden,District of Columbia
2,Trump,9,DE,Biden,Delaware
2,Trump,10,FL,Trump,Florida
2,Trump,11,GA,Trump,Georgia
2,Trump,12,HI,Biden,Hawaii
2,Trump,13,IA,Trump,Iowa
2,Trump,14,ID,Trump,Idaho
2,Trump,15,IL,Biden,Illinois
2,Trump,16,IN,Trump,Indiana
2,Trump,17,KS,Trump,Kansas
2,Trump,18,KY,Trump,Kentucky
2,Trump,19,LA,Trump,Louisiana
2,Trump,20,MA,Biden,Massachusetts
2,Trump,21,MD,Biden,Maryland
2,Trump,22,ME,Biden,Maine
2,Trump,24,MN,Biden,Michigan
2,Trump,25,MO,Biden,Minnesota
2,Trump,26,MS,Trump,Missouri
2,Trump,27,MT,Trump,Mississippi
2,Trump,28,NC,Trump,Montana
2,Trump,29,ND,Trump,North Carolina
2,Trump,30,NE,Trump,North Dakota
2,Trump,31,NH,Trump,Nebraska
2,Trump,32,NJ,Biden,New Hampshire
2,Trump,33,NM,Biden,New Jersey
2,Trump,34,NV,Biden,New Mexico
2,Trump,35,NY,Biden,Nevada
2,Trump,36,OH,Biden,New York
2,Trump,37,OK,Trump,Ohio
2,Trump,38,OR,Trump,Oklahoma
2,Trump,39,PA,Biden,Oregon
2,Trump,40,RI,Trump,Pennsylvania
2,Trump,41,SC,Biden,Rhode Island
2,Trump,42,SD,Trump,South Carolina
2,Trump,43,TN,Trump,South Dakota
2,Trump,44,TX,Trump,Tennessee
2,Trump,45,UT,Trump,Texas
